Hathaway, Chris 2.5477665323536e-05
Kobsa, Alfred 6.27098507657947e-05
Zhang, Yuqi 3.81737122823388e-05
Zijl, Lynette van 1.98712782087118e-05
Pico, David 2.18690516844786e-05
Luo, Xiaoqiang 0.00046388161542256
Sugimoto, Hiromi 1.98712782087118e-05
Vanni, Michelle 1.98712782087118e-05
Widlocher, Antoine 1.98712782087118e-05
Nanba, Hidetsugu 4.61035355913195e-05
Hopely, Philip 3.93706427579879e-05
Carbonnell, Jaime G. 2.33432742656818e-05
Chen-Main, Joan 1.98712782087118e-05
Zarri, Gian Piero 1.98712782087118e-05
Blanc, Olivier 1.98712782087118e-05
Ohta, Kazuhisa 2.13066713846637e-05
Rullent, Claudio 4.45303997579817e-05
Pylyshyn, Zenon W. 4.05636237619937e-05
Nallapati, Ramesh 2.68556123477723e-05
Andres, Frederic 3.10669786612663e-05
Ittycheriah, Abe 1.98712782087118e-05
Haruechaiyasak, Choochart 1.98712782087118e-05
Alonso Alemany, Laura 2.06077629403918e-05
Bowden, Tanya 3.66363703856905e-05
Sabatini, John 1.98712782087118e-05
Gawronska-Werngren, Barbara 2.69965699518933e-05
Huenerfauth, Matt 4.59461256612043e-05
Semmar, Nasredine 2.11606937420768e-05
Meharg, Fergus 1.98712782087118e-05
Cellio, Monica J. 4.56161596648172e-05
Kiem, Hoang 1.98712782087118e-05
Andr√©s-Ferrer, Jes√∫s 1.98712782087118e-05
Scherrer, Yves 1.98712782087118e-05
Li, Zhifei 3.13663031941041e-05
Trippel, Thorsten 1.98712782087118e-05
O'Neill, Ian M. 1.98712782087118e-05
Gambell, Timothy 1.98712782087118e-05
Kim, Nari 1.98712782087118e-05
Ballim, Afzal 0.000124959635696931
Santos, CÌcero Nogueira 1.98712782087118e-05
Rachidi, Tajje-Eddine 1.98712782087118e-05
Lee, Hyun Ah 1.98712782087118e-05
Seginer, Yoav 3.56529211518883e-05
Kakimoto, Toshihiro 4.53948805640714e-05
Moon, Taesun 1.98712782087118e-05
XiaoLong, Wang 1.98712782087118e-05
Vogel, David 1.98712782087118e-05
Sukvari, Thana 1.98712782087118e-05
Tishby, Naftali 0.000907241235951058
Keyser, Paul 1.98712782087118e-05
Van Rullen, Tristan 2.13951329299614e-05
Yi, Xing 1.98712782087118e-05
Xu, Ruifeng 2.04863513278733e-05
Saba, Walid S. 1.98712782087118e-05
Yonezaki, Naoki 3.86366518114337e-05
Cullingford, R. E. 2.54587455199602e-05
Alfonseca, Enrique 2.38417941576311e-05
Healey, Pat 1.98712782087118e-05
Westerhout, Eline 1.98712782087118e-05
Mullen, Tony 8.3361164012691e-05
Oliva, Karel 0.000118395872142951
Johnson, Michael T. 4.40075008478608e-05
Shaw, James 0.000346002547016325
Torasso, Pietro 6.00115961548283e-05
Bekki, Daisuke 2.30100056734108e-05
Narahara, Toshiko 5.73246186298465e-05
Rieser, Verena 4.54746357482071e-05
Patel, Ronakkumar 2.59012207612407e-05
Johnson, David E. 0.000178745756021754
Moldovan, Dan I. 0.00089084540131407
Groenink, Annius V. 1.98712782087118e-05
Berg-Kirkpatrick, Taylor 1.98712782087118e-05
Domingo, David 1.98904791273072e-05
Schwartz, Lane 1.98712782087118e-05
Nastase, Vivi 0.000100366553186211
Rose, Stuart 1.98712782087118e-05
Jayez, Jacques 4.2984000009614e-05
Shinyama, Yusuke 0.000155262908836041
Puurula, Antti 4.55562906234017e-05
Nemec, Petr 1.98712782087118e-05
Korelsky, Tanya 0.000311003375995932
Minoru, YOSHIDA 1.98712782087118e-05
Molla, Diego 4.14628971687608e-05
Luperfoy, Susann 0.000284838176653864
Chrupala, Grzegorz 5.38658384877612e-05
Nisinmra, Hirohiko 1.98712782087118e-05
Jancsary, Jeremy 1.98712782087118e-05
Schauble, Peter 0.000234715400315862
Fragkou, Pavlina 1.98712782087118e-05
Bartolini, Roberto 2.77684315172754e-05
The PLUM Research Group 0.000194597017155084
Hagen, Kristin 2.37146840565833e-05
Liu, Yixuan 1.98712782087118e-05
Vasserman, Alexander 0.000216808600990344
Calera-Rubio, Jorge 2.12402747239222e-05
Zhang, Jing 3.46523466574515e-05
Stibler, Kathleen 3.6633680142457e-05
Fellbaum, Christiane 0.000101446029007518
Turney, Peter D. 0.000595807806965637
Beckstein, C. 2.90972500895547e-05
Pomik·lek, Jan 1.98712782087118e-05
Wiemer-Hastings, Peter 7.25200512613477e-05
Braun, Anthony 1.98712782087118e-05
Graca, Joao 4.07732871959657e-05
Fuchss, Ruth 3.43599882535239e-05
Qian, Longhua 1.98712782087118e-05
Doan-Nguyen, Hai 8.99443894001558e-05
Coheur, Luisa 1.98712782087118e-05
Sugaya, Fumiaki 4.85398594297186e-05
Bertolo, Stefano 1.98712782087118e-05
Zhou, GuoDong 0.000375738271649597
Klose, Gudrun 1.98712782087118e-05
Sanyal, Sudip 1.98712782087118e-05
Hern·ndez H., Adolfo 1.98712782087118e-05
Tom, Janet 2.07160722649376e-05
Kitsuregawa, Masaru 2.56423266801532e-05
Compagnion, Herve 9.95193175115059e-05
Kozima, Hideki 0.000416381786032153
Itoh, W. 2.09341721176378e-05
Leass, Herbert J. 0.000616219368374873
Yang, Zhongfa 5.80625202157737e-05
Kaplan, Dain 1.98712782087118e-05
Ciortuz, Liviu 1.98712782087118e-05
Kuroda, Kow 1.98712782087118e-05
Santos, Diana 4.98362924856853e-05
Munson, Sean 1.98712782087118e-05
Zhang, Jiajun 1.98712782087118e-05
Makino, Hiroshi 8.6436268556066e-05
Tsunakawa, Takashi 1.98712782087118e-05
Macherey, Klaus 5.21385926159394e-05
Plamondon, Pierre 5.05633364518795e-05
Wang, Liang-Jyh 0.000164779508562305
Wolff, Susanne 0.000164258772033411
Willis, Alistair 3.50520228063828e-05
Wilbur, W. John 5.68392321340219e-05
Hu, Changjian 1.98712782087118e-05
Seppi, Kevin 3.51120634412221e-05
Harada, Ken'ichi 1.98712782087118e-05
Miller, David 7.11996724758793e-05
Sanchez, Antonio Vaquero 1.98712782087118e-05
Dermatas, Evangelos 0.000147884433701575
Sanchez Peiro, Joan Andreu 2.88356100774779e-05
Hoshino, Ayako 2.59517681661062e-05
Juan, Alfons 3.69758960070728e-05
Hassan, Samer 1.98712782087118e-05
Cahill, Lynne J. 0.000173427399649447
Guhe, Markus 1.98712782087118e-05
Muller, Vinicius 1.98712782087118e-05
Messiant, CÈdric 2.33859733517991e-05
Xia, Yunqing 2.10356626537792e-05
De Cao, Diego 1.98712782087118e-05
Ryu, Koichiro 1.98712782087118e-05
Gamage, Kumudu 1.98712782087118e-05
Mueller, Mark-Christoph 1.98712782087118e-05
Garofolo, John S. 0.000596864533982816
Gerstl, Peter 4.77635768908664e-05
Gailly, Pierre-Joseph 3.88087454632194e-05
Silberztein, Max D. 3.46887285200639e-05
Marc, Daniel 3.96596540884826e-05
Zhang, Bing 3.36084925158055e-05
Chigier, Benjamin 1.98712782087118e-05
Shi, Wu-Guang 2.97141428371601e-05
Sider, Ira 3.03166450327655e-05
Syed, Umar 1.98712782087118e-05
Friedman, Joyce 5.83436657516517e-05
Ticrea, Miruna 5.92251326154541e-05
Bindi, Remo 0.000264616998931891
Rodriguez, Luis 1.98712782087118e-05
Hermet, Matthieu 1.98712782087118e-05
Liu, Maofu 1.98712782087118e-05
Beals, Katherine P. 3.4901515515822e-05
Doherty-Sneddon, Gwyneth 0.000463189477660684
Ptacek, Jan 1.98712782087118e-05
Maedche, Alexander 1.98712782087118e-05
De Rossi, Gianluca 2.7287163224323e-05
Popescu, Octavian 2.58642379918079e-05
Singleton, Matt 1.98712782087118e-05
Gao, Jiang 1.98712782087118e-05
Buckwalter, Tim 8.29849872052497e-05
Zhang, Qi 4.84023710564213e-05
Wolf, Peter 1.98712782087118e-05
Batista, Fernando 1.98712782087118e-05
Yu, Kai 1.98712782087118e-05
Sagerer, Gerhard 1.98712782087118e-05
Alemu Argaw, Atelach 1.98712782087118e-05
Duvert, FrÈdÈric 1.98712782087118e-05
Wang, Yilin 1.98712782087118e-05
Hsueh, Pei-Yun 9.67158937241228e-05
Zhifang, Sui 2.68111885547526e-05
Hannan, Kerry 3.80049180591257e-05
Harrison, Philip 0.00103076245625544
Shih, Hsue-Hueh 3.15978709733535e-05
Naerger, Petra 5.57211305951219e-05
Bejan, Cosmin Adrian 3.36229117479304e-05
Ford, W. Randolph 1.98712782087118e-05
Ludwig, Bernd 1.98712782087118e-05
Ibekwe-SanJuan, Fidelia 3.85075116213595e-05
Brown, Ralf D. 0.000357749516060371
Stefanescu, Dan 3.85667869564791e-05
Bush, Marcia A. 0.000202106460886199
Mayfield, James 0.000132579168355056
Perlin, Mark 2.18926079747984e-05
Amano, Shigeaki 3.10309308004241e-05
Oda, Kanae 1.98712782087118e-05
Kim, Byeongchang 1.98712782087118e-05
Pechsiri, Chaveevan 1.98712782087118e-05
Chen, Aitao 9.53179359688043e-05
Rosenfeld, Benjamin 3.41995460061225e-05
Irimia, Elena 1.98712782087118e-05
Ikeda, Takahiro 3.16150459901572e-05
Boschee, Elizabeth 4.46535260054871e-05
Yu, Shi-Wen 1.98712782087118e-05
Lu, Qin 4.69573969480439e-05
Dapkus, Pete 3.04979203127494e-05
Helmreich, Stephen 4.96981353359079e-05
Nettleton, D. J. 1.98712782087118e-05
Jin, Wanying 4.15545947834145e-05
Ahn, Kisuh 2.3101894392478e-05
Takagi, Toshihisa 6.22910590952363e-05
Bellot, Patrice 1.98712782087118e-05
Muoz, R. 3.15895093528503e-05
Granacki, John J. 3.07333780241081e-05
Philpot, Andrew 0.000112200091079264
De Ilarraza Sanchez, Arantza Diaz 3.79537328494641e-05
Lecoeuche, Renaud 4.42867393313814e-05
Bodirsky, Manuel 1.98712782087118e-05
Zhang, James 5.77293963103693e-05
Payne, Thomas E. 1.98712782087118e-05
Hoenkamp, Edward 8.29667326145703e-05
Mana, Nadia 3.75083089571249e-05
Sasaki Alam, Yukiko 2.62484834643103e-05
Sumita, Kazuo 0.000133740651795692
Xu, LiLi 2.38376484065456e-05
Kuriyama, Naoko 1.98712782087118e-05
Zhao, Le 1.98712782087118e-05
Cabezas, Clara 2.77948330305682e-05
Perez-Coutino, Manuel 1.98712782087118e-05
Omi, Yoshie 1.98712782087118e-05
Popov, Borislav 2.07993996149026e-05
Gravier, Guillaume 1.98712782087118e-05
Mihalcea, Rada 0.00117582398262102
Weinstein, Steven P. 4.5723596693322e-05
Dumouchel, P. 1.98712782087118e-05
Moscovich, Tomer 5.80625202157737e-05
Guo, Jin 4.98188011183204e-05
Ljubesic, Nikola 1.98712782087118e-05
Yutaka, MITSUISHI 1.98712782087118e-05
Holz, Dieter 2.47937125883622e-05
Eishold, Florian 1.98712782087118e-05
Robinson, Jane J. 0.000297000942200592
Fujisaki, Tetsunosuke 0.00012666800890375
Placeway, Paul 0.000318243631513592
Jullien, Cleo 7.60425859612322e-05
Alder, Michael D. 2.97985189170005e-05
Goldberger, Jacob 3.26093607912469e-05
Eskenazi, Maxine 0.000113445238973546
Veilleuz, N. M. 0.00033796909102384
McConville, Mark 2.0346304022413e-05
Pai, Carol 2.42538887465128e-05
Papegaaij, B. C. 1.98712782087118e-05
Attia, Mohamed 1.98712782087118e-05
Joshi, Ashutosh 2.46988181036197e-05
Honnibal, Matthew 2.65762389822099e-05
Riehemann, Susanne 2.36988786491404e-05
Llorens, D. 2.2008916994712e-05
Levinger, Moshe 5.48198896589733e-05
Hagege, Caroline 4.21208856046557e-05
Castano, Jose M. 0.000100464739852723
Nilsson, Lars 1.98712782087118e-05
Chan, Yee Seng 0.000153866365077397
Faisal, Kanaan A. 2.10102850088245e-05
Ross, Kenneth M. 0.000164632710677502
Ogura, Mieko 2.34668909982304e-05
Oates, Tim 2.24324324365149e-05
Jarvinen, Jouni 3.02087382586311e-05
Nulty, Paul 1.98712782087118e-05
Lee, Chih 2.57814676778469e-05
Schafer, Charles 0.000208379371272475
Cmejrek, Martin 4.89506631576023e-05
Brandyberry, David 4.67191497467627e-05
Sikkel, Klaas 2.35100176479139e-05
Jin, Chengguo 1.98712782087118e-05
Tahaghoghi, S. M. M. 2.95697288321227e-05
Waast-Richard, Claire 1.98712782087118e-05
Chi, Zhiyi 0.000441269316355511
Shitaoka, Kazuya 2.90735115001938e-05
Sanfilippo, Antonio 0.00011527005382705
Swanson, Reid 3.19122266944729e-05
Jost, Patrick 3.80629052323611e-05
Clemenceau, David 2.83331158560329e-05
Petasis, Georgios 2.13982879086803e-05
Butt, Tahir 2.90480408940724e-05
Lenci, Alessandro 8.46303706751028e-05
Murthy, Kavi Narayana 1.98712782087118e-05
Faruque, Ehsanul 7.88360860785021e-05
Novischi, Adrian 0.000100525913052689
Babko-Malaya, Olga 0.000207604839177295
Cardinal, Patrick 1.98712782087118e-05
Seifridge, Mallory 3.79216808834192e-05
Coletti, Paolo 8.09792045426301e-05
Kantrowitz, Mark 9.91058500399419e-05
Verdejo, M. Felisa 0.000218035678264445
Garrett, Benjamin 5.80625202157737e-05
Nobata, Chikashi 0.000268920472704786
Goodine, D. 1.98712782087118e-05
Al-Maskari, Azzah 1.98712782087118e-05
Jijkoun, Valentin 0.000114021590406246
Broadhead, Matthew 4.65095562624405e-05
Wan, Xiaojun 3.68584449283721e-05
Meyer-Viol, Wilfried 3.50543127834166e-05
Skadins, Raivis 1.98712782087118e-05
Bajcsy, R. 2.43890872814302e-05
Grenager, Trond 0.000220908865755268
Badr, Ibrahim 1.98712782087118e-05
Di Tomaso, Vittorio 3.10037262987467e-05
Schultz, Karl 1.98712782087118e-05
Lhomme, Stanislas 1.98712782087118e-05
Aijaz, Adil 1.98712782087118e-05
Liebowitz, Suzanne 1.98712782087118e-05
Parmentier, Yannick 2.14257134103706e-05
Nhan, Ngo Thanh 0.000497104644237712
Margolis, Todd 4.7901314738851e-05
Norvig, Peter 6.46250223192567e-05
Basile, Pierpaolo 1.98904791273072e-05
Avgustinova, Tania 2.23672819281999e-05
Brown, Susan Windisch 1.98712782087118e-05
Almas, Yousif 1.98712782087118e-05
Ku, Wei 6.07406171395101e-05
Gledson, Ann 1.98712782087118e-05
Matsukawa, Tomoyoshi 0.000171645496566783
Iyer, Rukmini 0.000158890239438761
Benavent, Francesc 1.98712782087118e-05
Lersundi, M. 1.98712782087118e-05
Arnaiz, Alfredo 4.61763911622542e-05
Glennon, Dominic 2.69049323836433e-05
Cieri, Christopher 4.55453996286243e-05
Evans, David A. 0.00014515282474034
Odell, J. J. 5.69367341122653e-05
Hung, Hsi-Chuan 1.98712782087118e-05
Leech, Geoffrey 0.000207177652887373
Tohyama, Hitomi 1.98712782087118e-05
Turunen, Markku 3.44705542194816e-05
Wong, Fai 2.65762389822099e-05
Tochinai, Koji 2.5654410037621e-05
Felfoldi, Laszlo 2.21575408320507e-05
Papageorgiou, Harris 3.94101249070411e-05
Levine, John 6.94839489853905e-05
Piatko, Christine 8.05632013074945e-05
Cant, James 4.17283251349904e-05
Bronisz, Didier 1.98712782087118e-05
Favero, Eloi L. 1.98712782087118e-05
Sun, Jiashen 1.98712782087118e-05
Jelinek, Frederick 0.00414049064295672
Gavrilidou, M. 2.02611015094966e-05
Carl, Michael 8.93109721381653e-05
Biswas, Pradipta 1.98712782087118e-05
Cooper, Maggie 6.24607968162199e-05
Fouquere, Christophe 3.14666651705375e-05
Wilson, Harold 1.98712782087118e-05
Isahara, Hitoshi 0.000419983394148524
Marukawa, Yuzo 1.98712782087118e-05
Maier, Elisabeth 0.000588354552122938
Guillotin, T. 0.000119358468100406
Novick, David G. 6.72560944573113e-05
Kupiec, Julian 0.00308832230108653
Tang, Jie 1.98712782087118e-05
Dubuc, Julien 2.58581278110742e-05
Cohen, Philip R. 0.00080246152883282
Tepper, S. 8.16223644135864e-05
Menezes, Arul 0.000385757016863661
Sun, Jian 0.000113638385242013
Fish, Randall 3.62129981473005e-05
Cheng, Hua 6.50614531963993e-05
MartÌnez-Hinarejos, Carlos D. 1.98712782087118e-05
Graehl, Jonathan 0.000707289262397808
Schneider, Rene 1.98712782087118e-05
Galil, Zvi 1.98712782087118e-05
Chen, Harr 1.98712782087118e-05
Tan, Chew Lim 0.000236515838850812
Dehmer, Matthias 3.67216786062536e-05
Carmen, Marc 3.50549141161709e-05
Tsutsumi, Junya 9.92580051103665e-05
Nadathur, Gopalan 5.02446104029919e-05
Marneffe, Marie-Catherine 4.34041594098888e-05
Li, Ying 1.98712782087118e-05
Sun, Maosong 1.98712782087118e-05
Alumae, Tanel 4.77733389939175e-05
Hugosson, Asa 2.58656753216365e-05
Segal, Jonathan 8.92585884284767e-05
Hu, Yu 2.10701217697459e-05
Baker, Collin F. 0.00128245755609276
Yang, Fan 2.1111061154989e-05
Beavers, John 2.27344135035898e-05
Pollard, Elaine 3.1551861256514e-05
Hric, Jan 5.90033490792964e-05
Micelli, Vanessa 1.98712782087118e-05
Noth, Elmar 1.98712782087118e-05
Garcia-Cumbreras, Miguel 1.98712782087118e-05
Huang, Sheng-Jie 8.83536037008441e-05
Walkerdine, James 1.98712782087118e-05
Rebholz-Schuhmann, Dietrich 1.98712782087118e-05
Yarrington, Debra 2.69032570010298e-05
Peng, Yinan 1.98712782087118e-05
Bosco, Cristina 3.42983109720792e-05
Pauls, Adam 2.90876689049875e-05
Xia, YingJu 4.4338479830237e-05
Boudin, Florian 1.98712782087118e-05
Faruquie, Tanveer A. 2.25202723024273e-05
Kipp, Michael 7.26765204732743e-05
Wong, Ping Wai 2.4422704019977e-05
Kumagai, T. 2.09341721176378e-05
Ren, Dengjun 1.98712782087118e-05
Dillinger, Mike 2.68785590454587e-05
Schiffman, Rebecca J. 0.000195280371994603
Lenzi, Valentina Bartalesi 1.98712782087118e-05
Jurafsky, Daniel 0.00210953218574517
Jiang, Jing 3.53199582398348e-05
Nederhof, Mark-Jan 0.000163762843313025
Itai, Alon 0.00120438390597768
Op Den Akker, Rieks 5.06306742527527e-05
Samuelsson, Christer 0.000271156868046154
Martin, David 0.000265076306381381
Cordeiro, Joao 1.98712782087118e-05
Lehmann, Hubert 0.000146327211948211
Cheung, Chi-Shun 1.98712782087118e-05
Bikel, Daniel M. 0.00121572494953895
Nakayama, Yotaro 1.98712782087118e-05
Boven, B. 3.17044563208462e-05
Bessieres, Philippe 2.07010688050407e-05
Crammer, Koby 0.000386196380398155
Przepi√≥rkowski, Adam 1.98712782087118e-05
Diaz-Guilera, Albert 3.24761351148698e-05
Sumida, Asuka 1.98712782087118e-05
Quezel-Ambrunaz, Maurice 0.000273756406707805
Vercoe, Barry 1.98712782087118e-05
Kazakov, Dimitar 1.98712782087118e-05
Ding, Jihong 2.82298665868493e-05
Brill, Eric 0.00558879100641017
Kato, Yoshihide 1.98712782087118e-05
Waibel, Alex 0.000500328859540482
Gordon, Peter C. 1.98712782087118e-05
Wolz, Ursula 1.98712782087118e-05
Schwartz, Ariel S. 5.33860507431564e-05
Fordham, Andrew 1.98712782087118e-05
Bourigault, Didier 0.000472629360945891
Liou, Hsien-Chin 2.335368466562e-05
Saint Dizier, Patrick 2.25949376634906e-05
Seneff, Stephanie 0.00104199477844317
McKee, Douglas 0.000109128394565787
Jellinghaus, Michael 3.48409529416364e-05
Xiao, Jing 2.25292325533054e-05
Smith, Noah A. 0.000514985618502306
Matsui, Tomoko 1.98712782087118e-05
Haddow, Barry 2.21885437610063e-05
Abe, Akinori 1.98712782087118e-05
Petukhova, Volha 1.98712782087118e-05
Rocha, Paulo 4.55858635636057e-05
Eriguchi, Yoshio 7.59199960400275e-05
Valkonen, K. 1.98712782087118e-05
Malnati, Giovanni 2.35755085886639e-05
Moller, Sebastian 1.98712782087118e-05
Katrin, Tomanek 1.98712782087118e-05
San-Segundo, Ruben 3.63241464029902e-05
Pierce, David R. 0.000432389271460154
Hemforth, Barbara 1.98712782087118e-05
Baker, Rachel 1.98712782087118e-05
Takeshita, Atsushi 1.98712782087118e-05
Winters, Scott 0.000163414042279077
Kondrak, Grzegorz 0.000189328702409408
White, Ryan 1.98712782087118e-05
Schopp, Jochen 1.98712782087118e-05
Bunker, Ross T. 0.000403518648490218
Sun, Lin 1.98712782087118e-05
Guillaume, Bruno 4.05872023056278e-05
Devos, Laurent 1.98712782087118e-05
M‡rquez, LluÌs 1.98712782087118e-05
Malaise, Veronique 3.78710102818042e-05
Marci≈Ñczuk, Micha≈Ç 1.98712782087118e-05
Noro, Tomoya 2.5817117371697e-05
Chavez, Hector 1.98712782087118e-05
Jeuniaux, Patrick 2.09444435967554e-05
Fujio, Masakazu 2.30944276327956e-05
Sugiyama, Kenji 8.33562349581481e-05
Strunk, Jan 2.08635215657635e-05
Krasnyanskaya, Anna 2.19476203485969e-05
Verspoor, Cornelia Maria 6.29113292274662e-05
Schmeier, Sven 0.000104149145077098
Baggia, Paolo 1.98712782087118e-05
Baumgartner Jr., William A. 1.98904791273072e-05
Alonge, Antonietta 2.69455127529394e-05
Esuli, Andrea 3.87693731599601e-05
Gabrilovich, Evgeniy 2.55023218587259e-05
Isoda, Michio 2.40269654782099e-05
Soroa, Aitor 5.58146845578312e-05
Mykowiecka, Agnieszka 1.98712782087118e-05
Schank, Roger C. 0.000264191923141899
Niyogi, Partha 2.43369812634934e-05
Tancig, Peter 1.98712782087118e-05
Marton, Gregory 4.0043467045672e-05
Kumar, Aman 1.98712782087118e-05
Van Der Sluis, Ielka 2.64865198394288e-05
Micher, Jeffrey 1.98712782087118e-05
Tugwell, David 8.20601989184578e-05
Rinaldo, Frank 1.98712782087118e-05
Sgall, Petr 0.000173135919116529
Yuen, Denis 5.29689080393606e-05
Tillmann, Christoph 0.00120799176699838
Jin, Zhen 0.000250229072527722
Hamburger, Henry 1.98712782087118e-05
Muhlhauser, Max 4.30972203597168e-05
Reyes, Rodrigo 1.98712782087118e-05
Onet, Adrian 1.98712782087118e-05
Giorgino, Toni 1.98712782087118e-05
Pal, Miklos 2.28375235358093e-05
Grabar, Natalia 2.60481926209271e-05
Terenzi, Elena 2.4795117162574e-05
Chevalier, Haakon 4.7901314738851e-05
Xu, Zhonghui 2.45249118585468e-05
Teich, Elke 7.20407067669551e-05
Sugiyama, Akira 1.98712782087118e-05
Chen, Huey-Chyun 1.98712782087118e-05
Curl, Traci 0.000165457548942708
Kobayashi, Ichiro 1.98712782087118e-05
Deprez, F. 1.98712782087118e-05
Gorelov, Zakhar 4.34080936442624e-05
Abramowicz, Witold 1.98712782087118e-05
Cavaglia, Gabriela 1.98712782087118e-05
Xuan, Weijian 1.98712782087118e-05
ElKateb, Sabry 2.54207839927113e-05
Zoltowski, Carla B. 1.98712782087118e-05
Hurault-Plantet, Martine 1.98712782087118e-05
Maxwell III, John T. 0.000815244243469552
G, Uma Maheswara Rao 1.98712782087118e-05
Bolohan, Orest 5.00158068886076e-05
SABAH, Gerard 1.98712782087118e-05
Filimonov, Denis 1.98712782087118e-05
Corley, Courtney 6.29022778325207e-05
Bates, Madeleine 0.00140533797134133
Sikiriƒá, Ivan 1.98712782087118e-05
Kl¸wer, Tina 1.98712782087118e-05
Laskowski, Sharon 6.97112965344273e-05
Ranchhod, Elisabete 6.79486043709503e-05
Kim, Jae Dong 3.10891321041314e-05
Yamada, Kenji 0.000800649871905416
Che, Wanxiang 3.64925576948444e-05
Hastie, Helen 1.98712782087118e-05
LLoberas, Agusti 1.98712782087118e-05
Zweig, George 1.98712782087118e-05
Artstein, Ron 4.20673926839328e-05
Tonelli, Sara 1.98712782087118e-05
Theofilidis, Axel 0.000108968827613944
Duan, Jianyong 1.98712782087118e-05
Oono, Masaki 1.98712782087118e-05
Henschel, Renate 7.32043759888766e-05
Tsou, Benjamin K. 2.16522372503309e-05
Robin, Jacques 0.000208329364990803
Grieser, Karl 1.98712782087118e-05
Sun, Guangfan 1.98712782087118e-05
Reape, Mike 0.000379065915860198
Axelrod, Scott 4.42371828831978e-05
Moisl, Hermann 1.98712782087118e-05
Bell, Benjamin 1.98712782087118e-05
Boonthum, Chutima 1.98712782087118e-05
Malioutov, Igor 6.67346537814845e-05
Cremers, Crit 1.98712782087118e-05
Carcagno, D. 0.000291923573845501
Curteanu, Neculai 1.98904791273072e-05
T, Pattabhi R K Rao 1.98712782087118e-05
Hernandez, Luis A. 1.98712782087118e-05
Osada, Seiya 1.98712782087118e-05
Leuski, Anton 5.81054774248648e-05
Kirby, Simon 3.97872952532486e-05
Milne, Robert 0.000298312709895585
Lneker-Rodman, Birte 1.98712782087118e-05
Veillon, Gerard 8.80356331516501e-05
Wenderoth, Johanna 3.0673305265611e-05
Palazuelos-Cagigas, Sira E. 4.37184573424222e-05
Motta, Enrico 1.98712782087118e-05
Ilgen, Marc R. 2.40507180951735e-05
Wang, William S. Y. 2.34668909982304e-05
Gralinski, Filip 2.22993897885979e-05
Yoshimoto, Kei 0.000150026286878286
Reinstein, Gabe 5.9696025611896e-05
Huang, Xiaorong 0.000106412191857535
Fukusima, Takahiro 4.36979003598771e-05
Evans, David Kirk 4.53900854458606e-05
Kasper, Robert T. 0.000785027026167157
Dologlou, Yannis 1.98712782087118e-05
Pierrehumbert, Janet B. 0.000343340443892934
Chidambaram, Deepthi 3.91036402640124e-05
Nakao, Koichi 1.98712782087118e-05
Si Ameur, Lahcene 1.98712782087118e-05
Pollack, Martha E. 0.000803634239412041
Parkison, Roger C. 2.42136184501705e-05
Frank, Ian 1.98712782087118e-05
Huang, JinHu 1.98712782087118e-05
Takeichi, Masato 5.60816891536857e-05
Chen, Berlin 2.24835631844282e-05
Hope, David 5.17978108323674e-05
Kim, Young-Kil 1.98712782087118e-05
Lauer, Mark 0.000223477305959468
Chen, Jinxiu 3.40233093234475e-05
Dahl, Veronica 0.000442498549144486
Hamonic, J. 2.47524520829866e-05
LecorvÈ, GwÈnolÈ 1.98712782087118e-05
Talmy, Leonard 8.35435997837923e-05
Deng, Xiaotie 4.25807808023993e-05
Hauser, Bob 3.31808734129329e-05
Garbuio, Lorenzo 1.98712782087118e-05
Milch, Brian 1.98712782087118e-05
Zhu, Qiaoming 2.65628237667381e-05
Loftsson, Hrafn 2.15465468181076e-05
Gehrke, Manfred 2.50968403811105e-05
Wenjie, Li 1.98712782087118e-05
Ding, Yuan 0.000193377788950185
Hirano, Toru 2.78548162057499e-05
Wu, Xihong 3.43349575990926e-05
Hetzler, Elizabeth 1.98712782087118e-05
Ono, Yoshihiko 0.000122114446859746
Meyer, Josef 1.98712782087118e-05
Mitsumori, Tomohiro 2.61973091432985e-05
Matsuzaki, Takuya 0.000131014603172349
Aman, Saima 1.98712782087118e-05
Hawizy, Lezan 2.28326549267621e-05
Meyer, Ingrid 0.000331524766914762
Lo, Yong-Sheng 1.98712782087118e-05
Palomar, Manuel 8.11862566205363e-05
Yoon, Do-Sang 2.52993227957119e-05
Garofolo, J. 0.000421377992572939
Horiuchi, Y. 2.09341721176378e-05
Oi, Kozo 1.98712782087118e-05
Liu, Huaijun 2.72988100398803e-05
Gungordu, Zelal 4.27685068144031e-05
Ellis, Dan 5.04032967902205e-05
Godard, Daniele 4.2984000009614e-05
Nugier, Sylvaine 0.000130736094453268
Olsen, Mari Broman 7.44502538598458e-05
Das Gracas Volpe Nunes, Maria 4.40289228280505e-05
Jappinen, Harri 0.000243676751333786
Kitamura, Mihoko 7.40403816332502e-05
Schein, Andrew 0.000168182413831614
Lee, Chi-Hoon 4.307112692883e-05
Dean, Jeffrey 0.000123608376187826
Lavecchia, Caroline 1.98712782087118e-05
Fraser, Norman M. 0.000118292592351953
Rocha, Marco 2.6460114264705e-05
Fornell, Jan 1.98712782087118e-05
Walz, Janet 2.08025227605865e-05
Drabek, Elliott Franco 8.98814870936378e-05
Karamanis, Nikiforos 6.58259212165797e-05
Osswald, Rainer 2.37360995333534e-05
Brooks, James 0.000436369492946201
Rhodes, Katherine 1.98712782087118e-05
